Matthäus 1:1	Stammbaum Jesu Christi, des Sohnes Davids, des Sohnes Abrahams:
1 Timotheus 4:10	denn dafür (oder: auf dieses Ziel hin) mühen wir uns ab und lassen auch Schmähungen über uns ergehen***), weil wir unsere Hoffnung auf den lebendigen Gott gesetzt haben, der ein Retter (oder: Heiland) aller Menschen ist, zumal der Gläubigen.
1 Timotheus 4:11	Dies schärfe ein und lehre!
1 Timotheus 4:12	¶ Niemand soll dir wegen deiner Jugend die gebührende Achtung versagen; werde du vielmehr ein Vorbild für die Gläubigen in Wort und Wandel, in der Liebe wie im Glauben und in der Sittenreinheit.
1 Timotheus 4:13	Bis zu meiner Ankunft fahre fort mit dem Vorlesen (der heiligen Schrift), mit den ermahnenden Ansprachen, mit der Lehrtätigkeit!
1 Timotheus 4:14	Laß die dir zu Gebot stehende Gnadengabe nicht unbetätigt, die dir durch prophetische Verheißung unter Handauflegung der Ältestenschaft verliehen worden ist.
1 Timotheus 4:15	Dies laß dir angelegen sein, hierin lebe (= suche deine Hauptaufgabe): alle müssen wahrnehmen können, welche Fortschritte du darin machst.
1 Timotheus 4:16	Gib auf dich selbst und auf die Lehre acht, halte daran fest; denn wenn du das tust, wirst du sowohl dich selbst als auch deine Hörer retten (oder: zum Heil führen).
1 Timotheus 5:1	Einen älteren Mann fahre nicht hart an, sondern rede mahnend zu ihm wie zu einem Vater; jüngere Männer ermahne wie Brüder,
1 Timotheus 5:2	ältere Frauen wie Mütter, jüngere wie Schwestern in aller Sittsamkeit.
1 Timotheus 5:3	¶ Witwen, die wirklich Witwen (oder: ganz verlassen) sind, begegne mit Ehrerbietung;
1 Timotheus 5:4	wenn aber eine Witwe Kinder oder Enkel hat, so sollen diese lernen, an erster Stelle gegen ihre eigene Familie liebevoll zu handeln und ihren gealterten Angehörigen (= Eltern und Großeltern) die empfangenen Wohltaten zu vergelten, denn das ist wohlgefällig vor Gott.
1 Timotheus 5:5	Eine wirkliche Witwe aber, die ganz allein steht, hat ihre Hoffnung auf Gott gesetzt und verharrt in ihren Bitten und Gebeten bei Tag und Nacht;
1 Timotheus 5:6	wenn eine Witwe dagegen in Üppigkeit lebt, so ist sie schon bei Lebzeiten tot (vgl. V. 11 u. 12).
1 Timotheus 5:7	Auch dies schärfe ihnen ein, damit sie sich unsträflich halten!
1 Timotheus 5:8	Wenn aber jemand seine Angehörigen, zumal wenn sie seine Hausgenossen sind, nicht versorgt, so hat er damit den Glauben verleugnet und ist schlimmer als ein Ungläubiger (oder: Heide).
1 Timotheus 5:9	¶ Eine Witwe soll nur dann in das Verzeichnis (der von der Gemeinde zu versorgenden Witwen) eingetragen werden, wenn sie mindestens sechzig Jahre alt ist, nur eines Mannes Ehefrau gewesen (vgl. 3,2)
1 Timotheus 5:10	und durch gute Werke wohl bezeugt ist, insofern sie nämlich Kinder großgezogen, Gastfreundschaft gegen Fremde geübt, Heiligen die Füße gewaschen, Bedrängten Hilfe geleistet hat, überhaupt guten Werken aller Art eifrig nachgegangen ist.
1 Timotheus 5:11	Jüngere Witwen dagegen weise zurück; denn wenn sie im Gegensatz zur Hingabe an Christus sinnlich erregt geworden sind, wollen sie wieder heiraten,
1 Timotheus 5:12	obgleich sie dadurch ein Schuldurteil auf sich lasten haben, weil sie das erste Treuegelöbnis gebrochen haben.
1 Timotheus 5:13	Da sie zugleich beschäftigungslos sind, gewöhnen sie sich daran, in den Häusern umherzulaufen, und sind dann nicht nur beschäftigungslos, sondern führen auch bei ihrer Geschwätzigkeit und Neugier ungehörige Reden.
1 Timotheus 5:14	Es ist daher mein Wille, daß die jüngeren (Witwen wieder) heiraten, Mütter werden, ihrem Haushalt vorstehen und dem Widersacher keinen Anlaß zu übler Nachrede geben;
1 Timotheus 5:15	manche sind ja leider schon vom rechten Wege abgewichen und dem Satan nachgefolgt.
1 Timotheus 5:16	Wenn eine gläubige Frau Witwen (in ihrer Verwandtschaft) hat, so soll sie für deren Bedarf sorgen, die Gemeinde aber soll unbelastet bleiben, damit sie sich der wirklichen Witwen ausreichend annehmen kann.
1 Timotheus 5:17	¶ Die Ältesten, die sich in ihrem Vorsteheramt bewähren, sollen doppelter Ehre würdig geachtet werden, besonders die, welche als Prediger und Lehrer mit Eifer tätig sind;
1 Timotheus 5:18	denn die Schrift sagt (5. Mose. 25,4): „Du sollst einem Ochsen beim Dreschen das Maul nicht verbinden” und (Luk. 10,7): „Der Arbeiter ist seines Lohnes wert.”
1 Timotheus 5:19	Gegen einen Ältesten nimm keine Klage an, außer auf Grund der Aussagen von zwei oder drei Zeugen (5. Mos. 19,15).
1 Timotheus 5:20	Solche, die sich etwas zuschulden kommen lassen, weise in Gegenwart aller (Ältesten) zurecht, damit auch die übrigen (Ältesten) Furcht bekommen.
1 Timotheus 5:21	Ich beschwöre dich vor dem Angesicht Gottes und des Herrn Christus Jesus und der auserwählten Engel: befolge diese Weisungen ohne Vorurteil und handle in keinem Fall nach Gunst.
1 Timotheus 5:22	Die Handauflegung erteile niemandem übereilt, und mache dich (dadurch) nicht zum Mitschuldigen fremder Sünden; erhalte dich selbst rein!
1 Timotheus 5:23	¶ Trinke nicht mehr immer nur Wasser, sondern nimm etwas Wein hinzu wegen deines Magens und deiner häufigen Schwächeanfälle. —
1 Timotheus 5:24	Bei manchen Menschen liegen die Sünden offenkundig zutage und treten für die Beurteilung schon vorher hervor*); bei manchen werden sie aber auch erst hinterdrein bekannt.
1 Timotheus 5:25	Ebenso sind auch die guten Werke offenkundig, und die, bei denen das nicht der Fall ist, können (auf die Dauer) doch nicht verborgen bleiben.
1 Timotheus 6:1	Alle, die als Sklaven unter dem Joch (der Knechtschaft) stehen, sollen ihre Herren aller Ehrerbietung würdig achten, damit der Name Gottes und die (christliche) Lehre nicht gelästert werden (= in Verruf kommen).
1 Timotheus 6:2	Diejenigen aber unter ihnen, welche Gläubige (= Christen) zu Herren haben, sollen diesen deshalb nicht mit Geringschätzung entgegentreten, weil sie Brüder sind, sondern sollen ihren Dienst um so eifriger versehen, weil sie es mit Gläubigen (= Christen) und Gottgeliebten zu tun haben, die sich des Wohltuns (d. h. der freundlichen Behandlung ihrer Sklaven) befleißigen.
1 Timotheus 6:3	¶ Dieses (= folgendes) lehre und schärfe es ein: Wer anders lehrt und sich nicht an die gesunden Worte unsers Herrn Jesus Christus und an die Lehre hält, welche der Gottseligkeit (= der rechten Verehrung Gottes) dient (oder: entspricht),
1 Timotheus 6:4	der ist von Hochmut verblendet und versteht in Wirklichkeit nichts, sondern krankt an der Sucht nach spitzfindigen Untersuchungen und Wortgezänk, aus denen nur Neid und Streit, Schmähungen, boshafte Verdächtigungen
1 Timotheus 6:5	und fortwährende Zänkereien von Menschen entstehen, die geistig zerrüttet sind und (den Sinn für) die Wahrheit verloren haben, weil sie in der Gottseligkeit eine Erwerbsquelle sehen.
1 Timotheus 6:6	Allerdings ist die Gottseligkeit eine reiche Erwerbsquelle, nämlich in Verbindung mit Genügsamkeit;
1 Timotheus 6:7	denn wir haben nichts (mit uns) in die Welt hineingebracht; so können wir auch nichts aus ihr mit hinausnehmen.
1 Timotheus 6:8	Haben wir also Nahrung und Kleidung, so wollen wir uns daran genügen lassen;
1 Timotheus 6:9	denn die, welche um jeden Preis reich werden wollen, geraten in Versuchung und in eine Schlinge (oder: in Fallstricke) und in viele törichte und schädliche Begierden, welche die Menschen in Untergang und Verderben stürzen.
1 Timotheus 6:10	Denn eine Wurzel alles Bösen ist die Geldgier; gar manche, die sich ihr ergeben haben, sind vom Glauben abgeirrt und zermartern sich selbst mit vielen qualvollen Schmerzen.
1 Timotheus 6:11	¶ Du aber, Mann Gottes (oder: Gottesmensch), halte dich von diesem (allem) fern. Trachte vielmehr nach Gerechtigkeit und Gottseligkeit, nach Glauben und Liebe, nach Standhaftigkeit (oder: Geduld) und Sanftmut!
1 Timotheus 6:12	Kämpfe den guten Kampf des Glaubens, ergreife (= erringe als Kampfpreis) das ewige Leben, zu dem du berufen bist und für das du das herrliche Bekenntnis vor vielen Zeugen abgelegt hast.
1 Timotheus 6:13	Ich gebiete dir vor dem Angesicht Gottes, der alles Leben schafft, und vor Christus Jesus, der vor Pontius Pilatus das herrliche Bekenntnis abgelegt hat:
1 Timotheus 6:14	Führe den (dir erteilten) Auftrag so aus, daß du ohne Flecken, ohne Tadel bleibst bis zur Erscheinung unsers Herrn Jesus Christus,
1 Timotheus 6:15	die der selige und alleinige Machthaber (oder: Gebieter) zur festgesetzten (oder: rechten) Zeit eintreten lassen wird, er, der König der Könige und der Herr der Herren,
1 Timotheus 6:16	der allein Unsterblichkeit besitzt, der da wohnt in einem unzugänglichen*) Licht, den kein Mensch gesehen hat noch zu sehen vermag: ihm gebührt Ehre und Macht! Amen.
1 Timotheus 6:17	¶ Denen, die Reichtum in der jetzigen Weltzeit besitzen, schärfe ein, daß sie sich nicht überheben und ihre Hoffnung nicht auf die Unsicherheit des Reichtums setzen, sondern auf Gott, der uns alles reichlich zum Genießen darbietet.
1 Timotheus 6:18	(Schärfe ihnen ein,) Gutes zu tun, reich an guten Werken zu sein, Freigebigkeit und Mildtätigkeit zu üben
1 Timotheus 6:19	und sich dadurch ein gutes (= sicheres) Grundvermögen für die Zukunft anzulegen, damit sie das wirkliche Leben erlangen.
1 Timotheus 6:20	¶ O Timotheus, nimm das dir anvertraute Gut in treue Hut (oder: Verwahrung) und meide das unfromme leere Geschwätz und die Streitsätze (oder: Einwürfe) der mit Unrecht so genannten „Erkenntnis”!
1 Timotheus 6:21	Manche sind schon dadurch, daß sie sich zu ihr bekannten, im Glauben auf Abwege geraten. Die Gnade sei mit euch!
2 Timotheus 1:1	Ich, Paulus, ein Apostel Christi Jesu durch den Willen Gottes auf Grund (oder: zur Verkündigung) der Verheißung des Lebens (das) in Christus Jesus (begründet ist),
2 Timotheus 1:2	sende meinen Gruß dem Timotheus, meinem geliebten (Glaubens)kinde: Gnade, Barmherzigkeit und Friede (sei mit dir) von Gott dem Vater und unserm Herrn Christus Jesus!
2 Timotheus 1:3	¶ Ich bin meinem Gott, dem ich von meinen Vorfahren her mit reinem Gewissen diene, dankbar dafür, wie unablässig ich deiner in meinen Gebeten bei Tag und Nacht gedenke.
2 Timotheus 1:4	Ich sehne mich dabei in der Erinnerung an deine Tränen nach einem Wiedersehen mit dir, um mich mit ganzem Herzen freuen zu können,
2 Timotheus 1:5	wenn ich einen neuen Eindruck von deinem aufrichtigen Glauben empfange, der zuerst in deiner Großmutter Lois und deiner Mutter Eunike gewohnt hat und (jetzt), wie ich überzeugt bin, auch in dir (wohnt).
2 Timotheus 1:6	¶ Aus diesem Grunde erinnere ich dich mahnend daran, die Gnadengabe Gottes, die dir infolge meiner Handauflegung zuteil geworden ist, zu heller Flamme zu entfachen;
2 Timotheus 1:7	denn Gott hat uns nicht einen Geist der Verzagtheit gegeben, sondern der Kraft und der Liebe und der Selbstzucht.
2 Timotheus 1:8	So schäme dich also nicht, Zeugnis von unserm Herrn (oder: für unsern Herrn) abzulegen; (schäme dich) auch meiner nicht, der ich um seinetwillen ein Gefangener bin, sondern nimm an den Leiden für die (Verkündigung der) Heilsbotschaft teil nach Maßgabe der Kraft Gottes,
2 Timotheus 1:9	der uns errettet hat und berufen mit einer heiligen Berufung, nicht auf Grund unserer Werke, sondern nach seinem Vorsatz (= freien Ratschluß) und nach seiner Gnade, die uns in Christus Jesus vor ewigen Zeiten verliehen,
2 Timotheus 1:10	jetzt aber durch die Erscheinung unsers Retters (oder: Heilands) Jesus Christus geoffenbart worden ist. Der hat die Macht des Todes vernichtet, dafür aber Leben und unvergängliches Wesen ans Licht gebracht durch die Heilsbotschaft,
2 Timotheus 1:11	für die ich meinerseits zum Herold (= Verkündiger, Prediger), zum Apostel und zum Lehrer bestellt worden bin.
2 Timotheus 1:12	¶ Das ist auch die Ursache meiner jetzigen Leiden, deren ich mich aber nicht schäme; denn ich weiß, wer es ist, auf den ich mein Vertrauen gesetzt habe, und bin dessen gewiß, daß er stark genug ist, mein mir anvertrautes Gut*) bis auf jenen Tag zu bewahren.
2 Timotheus 1:13	Als Vorbild (oder: Muster) gesunder Lehren halte die fest, welche du von mir gehört hast, im Glauben und in der Liebe, die in Christus Jesus wurzeln.
2 Timotheus 1:14	Bewahre das dir anvertraute kostbare Gut durch den heiligen Geist, der in uns wohnt!
2 Timotheus 1:15	¶ Das weißt du (bereits), daß alle in der Provinz Asien mir den Rücken gekehrt (= sich von mir abgewandt) haben, unter ihnen Phygelus und Hermogenes.
2 Timotheus 1:16	Der Herr erweise seine Barmherzigkeit dem Hause des Onesiphorus; denn er hat mich oft erquickt (= durch seinen Zuspruch gestärkt) und meiner Ketten sich nicht geschämt,
2 Timotheus 1:17	sondern nach seiner Ankunft in Rom eifrig nach mir gesucht und mich auch ausfindig gemacht.
2 Timotheus 1:18	Der Herr (Jesus) lasse ihn bei (Gott) dem Herrn an jenem Tage Barmherzigkeit finden! Wie viele wichtige Dienste er (uns) außerdem in Ephesus geleistet hat, weißt du selbst am besten.
2 Timotheus 2:1	Tritt du nun, mein (Glaubens)kind, durch die Gnade, die in Christus Jesus (dargeboten) ist, kraftvoll auf
2 Timotheus 2:2	und vertraue das, was du von mir unter Bestätigung (oder: im Beisein) vieler Zeugen gehört hast, zuverlässigen Personen an, die (dann auch) befähigt sein werden, wieder andere zu unterweisen.
2 Timotheus 2:3	Tritt als ein rechter (= tüchtiger) Streiter Christi Jesu in die Leidensgemeinschaft ein!
2 Timotheus 2:4	Kein Kriegsmann gibt sich mit (den kleinlichen) Geschäften des Broterwerbs ab; sonst kann er dem, der ihn in Dienst genommen hat, nicht gefallen;
2 Timotheus 2:5	und wenn jemand auch am Wettkampf teilnimmt, empfängt er doch den Siegeskranz nicht, wenn er nicht ordnungsgemäß gekämpft hat.
2 Timotheus 2:6	Der Landmann, der die mühevolle Arbeit verrichtet, hat auch den ersten Anspruch auf den Genuß der Früchte.
2 Timotheus 2:7	Suche den Sinn meiner Worte zu begreifen: der Herr wird dir schon in allen Fällen die rechte Einsicht verleihen.
2 Timotheus 2:8	¶ Halt im Gedächtnis Jesus Christus fest, der von den Toten auferweckt worden ist, der aus Davids Nachkommenschaft stammt! — wie meine Heilsbotschaft lautet,
2 Timotheus 2:9	für die ich Leiden zu erdulden habe, sogar Ketten wie ein Verbrecher; doch das Wort Gottes liegt (darum) nicht in Ketten.
2 Timotheus 2:10	Deshalb ertrage ich auch alles standhaft um der Auserwählten willen, damit auch sie das Heil, das in Christus Jesus (begründet) ist, samt der ewigen Herrlichkeit erlangen.
2 Timotheus 2:11	Zuverlässig ist das Wort: „Sind wir mitgestorben, so werden wir auch mitleben;
2 Timotheus 2:12	harren wir standhaft aus, so werden wir auch mitherrschen; verleugnen wir, so wird auch er uns verleugnen;
2 Timotheus 2:13	sind wir untreu, so bleibt er doch treu; denn er kann sich selbst nicht verleugnen.”
2 Timotheus 2:14	¶ Dies bringe (allen) in Erinnerung und ermahne sie eindringlich vor dem Angesicht Gottes, sich auf keinen Streit um Worte einzulassen, was zu nichts nütze ist und nur zur Verstörung der Zuhörer führt.
2 Timotheus 2:15	Sei eifrig bemüht, dich Gott als bewährt darzustellen (oder: zu erweisen), als einen Arbeiter, der sich (seiner Arbeit) nicht zu schämen braucht, weil er das Wort der Wahrheit richtig darbietet (oder: recht teilt)*).
2 Timotheus 2:16	Mit den wertlosen leeren Geschwätzen dagegen sollst du nichts zu tun haben; denn sie (d. h. die Irrlehrer) werden (mit ihnen) immer tiefer in die Gottentfremdung hineingeraten,
2 Timotheus 2:17	und ihr Gerede (oder: ihre Lehre) wird wie ein Krebsgeschwür immer weiter um sich fressen. Zu ihnen gehören Hymenäus und Philetus,
2 Timotheus 2:18	die in betreff der Wahrheit auf Abwege geraten sind (vgl. 1. Tim. 6,21), da sie behaupten, die Auferstehung habe bereits stattgefunden: sie bringen dadurch manchen um seinen Glauben.
2 Timotheus 2:19	¶ Doch der feste, von Gott gelegte Grundbau bleibt trotzdem bestehen und trägt als Siegel diese Inschrift (4. Mos. 16,5?): „Der Herr kennt die Seinen” und (Jes. 52,11?): „Es halte sich von der Ungerechtigkeit jeder fern, der den Namen des Herrn nennt (= sich zum Herrn bekennt)!”
2 Timotheus 2:20	In einem großen Hauswesen gibt es aber nicht nur goldene und silberne Gefäße, sondern auch hölzerne und irdene, und zwar die ersteren zu ehrenvoller Verwendung, die letzteren zu ungeehrtem Gebrauch.
2 Timotheus 2:21	Wenn nun jemand sich von diesen (letztgenannten) völlig rein erhält, so wird er ein Gefäß zu ehrenvoller Verwendung sein, ein geheiligtes, für den Hausherrn brauchbares, zu jedem guten Werk geeignetes.
2 Timotheus 2:22	¶ Fliehe die Begierden (oder: Gelüste) der Jugend, jage vielmehr der Gerechtigkeit und dem Glauben, der Liebe und dem Frieden nach im Verein mit denen, die den Herrn aus reinem Herzen anrufen!
2 Timotheus 2:23	Aber auf die törichten und kindischen Untersuchungen (oder: Streitfragen) laß dich nicht ein; du weißt ja, daß sie nur Streitigkeiten hervorrufen.
2 Timotheus 2:24	Ein Knecht des Herrn aber soll nicht streitsüchtig sein, sondern freundlich gegen jedermann, ein tüchtiger Lehrer, fähig, Böses mit Geduld zu ertragen
