Genesis 1:1	Im Anfang schuf Gott den Himmel und die Erde;
Psalmen 139:22	Ja, ich hasse sie mit tödlichem Haß:als Feinde gelten sie mir.
Psalmen 139:23	Erforsche mich, Gott, und erkenne mein Herz,prüfe mich und erkenne meine Gedanken!
Psalmen 139:24	und sieh, ob ich wandle auf trüglichem Wege,und leite mich auf dem ewigen Wege!
Psalmen 140:1	Dem Musikmeister, ein Psalm von David.
Psalmen 140:2	Rette mich, HErr, von den bösen Menschen!vor den Freunden der Gewalttat schütze mich,
Psalmen 140:3	die auf Böses im Herzen sinnenund allezeit Streit erregen!
Psalmen 140:4	Sie spitzen (oder: schärfen) ihre Zungen der Schlange gleich,Otterngift ist hinter ihren Lippen. Sela.
Psalmen 140:5	Behüte mich, HErr, vor den Händen der Frevler!vor den Freunden der Gewalttat schütze mich,die darauf sinnen, zu Fall mich zu bringen!*)
Psalmen 140:6	Die Frechen legen mir heimlich Schlingen und Fallstricke,spannen Netze aus zur Seite des Wegsund stellen mir Fallen. Sela.
Psalmen 140:7	Ich sage zum HErrn: „Du bist mein Gott,„vernimm, o HErr, mein lautes Flehen!”
Psalmen 140:8	O HErr, mein Gott, meine starke Hilfe,du hast mein Haupt beschirmt am Tage des Kampfes:
Psalmen 140:9	gewähre nicht, HErr, die Gelüste (= Wünsche) der Frevler,laß ihr böses Trachten nicht gelingen! Sela.
Psalmen 140:10	Erheben sie das Haupt rings um mich her,so falle das Unheil ihrer Lippen auf sie selbst!
Psalmen 140:11	Er lasse glühende Kohlen auf sie regnen,ins Feuer stürze er sie,in Wasserfluten, daß sie nicht aufstehn können!
Psalmen 140:12	Der Verleumder wird keinen Halt im Lande gewinnen;der Mann der Gewalttat jage das Unglück Stoß auf Stoß!**)
Psalmen 140:13	Ich weiß, der HErr wird führen des Elenden Sache,den Rechtsstreit der Armen.
Psalmen 140:14	Ja, die Gerechten werden deinen Namen preisen,die Redlichen bleiben wohnen vor deinem Angesicht.
Psalmen 141:1	Ein Psalm Davids.HErr, ich rufe dich, eile mir zu Hilfe!vernimm meine Stimme, wenn ich zu dir rufe!
Psalmen 141:2	Laß mein Gebet dir als Räucherwerk gelten,das Aufheben meiner Hände als Abendopfer!
Psalmen 141:3	Stelle, o HErr, eine Wache vor meinen Mund,behüte das Tor meiner Lippen!
Psalmen 141:4	Laß mein Herz sich nicht neigen zu bösem Tun,daß ich gottlose Taten verübeim Verein mit Männern, die Übeltäter sind:ich mag nicht essen von ihren Leckerbissen!
Psalmen 141:5	Schlägt mich ein Gerechter: das ist Liebe,und weist er mich zurecht: das ist Salbe für’s Haupt;nicht soll mein Haupt dagegen sich sträuben;denn noch ist’s der Fall, daß für ihre Bosheit (oder: Nöte?) mein Gebet erfolgt*)
Psalmen 141:6	Sind ihre Richter eine Felswand hinabgestürzt worden,so wird man hören, daß meine Worte lieblich (oder: liebreich) sind.
Psalmen 141:7	Wie einer das Erdreich furcht und aufreißt,so sind unsere Gebeine hingestreut für den Rachen der Unterwelt.
Psalmen 141:8	Denn auf dich, o Allherr, sind meine Augen gerichtet,bei dir such’ ich Zuflucht:gib mein Leben nicht hin in den Tod!**)
Psalmen 141:9	Behüte mich vor der Schlinge, die sie mir gelegt,und vor den Fallstricken der Übeltäter!
Psalmen 141:10	Laß die Frevler fallen in ihre eigenen Netze,während ich zugleich daran vorübergehe!
Psalmen 142:1	Ein Lehrgedicht (vgl. 32,1) Davids, als er sich in der Höhle befand (vgl.57. 1.), ein Gebet.
Psalmen 142:2	Laut schrei’ ich zum HErrn,laut fleh’ ich zum HErrn;
Psalmen 142:3	ich schütte meine Klage vor ihm aus,tue kund vor ihm meine Not.
Psalmen 142:4	Wenn mein Geist in mir verschmachtet (= verzagt),du kennst doch meinen Lebenspfad.Auf dem Wege, den ich wandeln will (oder: gehen muß),hat man mir heimlich ein Fangnetz ausgespannt.
Psalmen 142:5	Blick’ ich nach rechts und halte Umschau:ach, da ist keiner, der mich versteht (oder: kennt)!Verschlossen ist mir jede Zuflucht:niemand fragt nach mir!
Psalmen 142:6	Ich schreie, HErr, zu dir,ich sage: „Du bist meine Zuflucht,„mein Anteil im Lande der Lebenden!”
Psalmen 142:7	Ach, merk’ auf mein Flehn, denn ich bin gar schwach geworden!rette mich vor meinen Verfolgern, denn sie sind mir zu stark!
Psalmen 142:8	Führe mich aus der Umkreisung hinaus,damit ich deinen Namen preise!Die Gerechten werden bei mir erwarten,daß du mir wohltust***).
Psalmen 143:1	Ein Psalm Davids.HErr, höre mein Gebet,vernimm mein Flehen um deiner Treue willen!erhöre mich nach deiner Gerechtigkeit
Psalmen 143:2	und geh nicht ins Gericht mit deinem Knecht!denn vor dir ist kein Lebender gerecht.
Psalmen 143:3	Ach, der Feind verfolgt meine Seele (= trachtet mir nach dem Leben),hat mein Leben zu Boden geschlagen,versetzt mich in Nacht wie die ewig Toten (oder: längst Gestorbnen).
Psalmen 143:4	Nun will mein Geist in mir verzagen (vgl. 142,4),mein Herz erstarrt mir in der Brust.
Psalmen 143:5	Ich gedenke der früheren Tage (oder: Zeiten),rufe all deine Taten mir ins Gedächtnis,denke über dein ganzes Walten nach;
Psalmen 143:6	ich breite meine Hände aus nach dir:meine Seele dürstet nach dir wie lechzendes Land. Sela.
Psalmen 143:7	Eile, mich zu erhören, o HErr: mein Geist verzagt!verhülle dein Angesicht nicht vor mir,sonst werde ich denen gleich, die ins Totenreich gefahren.
Psalmen 143:8	Laß schon früh am Morgen mich deine Gnade erfahren,denn auf dich vertraue ich!Tu mir kund den Weg, den ich gehn soll,denn zu dir erhebe ich meine Seele!
Psalmen 143:9	Rette mich, HErr, von meinen Feinden:zu dir nehme ich meine Zuflucht!
Psalmen 143:10	Lehre mich das dir Wohlgefällige tun,denn du bist mein Gott:dein guter Geist führe mich auf ebener Bahn!
Psalmen 143:11	Um deines Namens willen, HErr, erhalt’ mich am Leben,nach deiner Gerechtigkeit hilf mir aus der Not,
Psalmen 143:12	und nach deiner Gnade vertilge meine Feindeund vernichte alle, die meine Seele (= mich) bedrängen!ich bin ja dein Knecht.
Psalmen 144:1	Von David.Gepriesen sei der HErr, mein Fels,der meine Hände (= Fäuste) tüchtig gemacht zum Kampf,meine Finger geschickt zum Kriege,
Psalmen 144:2	mein Wohltäter und meine Burg, meine Feste und mein Retter,mein Schild und der, auf den ich vertraue;Völker hat er mir unterworfen!
Psalmen 144:3	HErr, was ist der Mensch, daß du ihn beachtest,des Menschen Sohn, daß du seiner gedenkst?
Psalmen 144:4	Der Mensch gleicht einem Hauch,seine Tage sind wie ein Schatten, der vorüberfliegt.
Psalmen 144:5	HErr, neige deinen Himmel und fahre herab,rühre die Berge an, daß sie rauchen!
Psalmen 144:6	Schleudre Blitze und zerstreue sie (d. h. meine Feinde),schieß deine Pfeile ab und laß sie zerstieben!
Psalmen 144:7	Strecke deine Hände aus der Höhe herab, reiß mich herausund rette mich aus gewaltigen Fluten,aus der Hand der Söhne der Fremde,
Psalmen 144:8	deren Lippen Lügen redenund deren Rechte mit Täuschung umgeht*).
Psalmen 144:9	Gott, ein neues Lied will (alsdann) ich dir singen,auf zehnsaitiger Harfe dir spielen:
Psalmen 144:10	dir, der den Königen Sieg verleiht,der David, seinen Knecht, entrissen dem mörderischen Schwert
Psalmen 144:11	Reiß mich heraus und rette mich aus der Hand der Söhne der Fremde,deren Lippen Lügen redenund deren Rechte mit Täuschung umgeht (vgl. V. 8)! —
Psalmen 144:12	O gib, daß unsere Söhne in ihrer Jugendkrafthochgewachsenen Setzlingen gleichen!daß unsre Töchter seien wie schöngemeißelte Ecksäulenan prächtig gebauten Palästen!
Psalmen 144:13	daß unsre Speicher, wohlgefüllt,spenden einen Vorrat nach dem andern!daß unser Kleinvieh sich tausendfach mehre,zehntausendfach auf unsern Triften!
Psalmen 144:14	daß unsre Rinder trächtig seien ohne Mißgeschick und ohne Fehlgeburt,keine Spaltung im Volk und kein Wehgeschrei auf unsern Straßen!
Psalmen 144:15	Glückselig das Volk, dem es so ergeht!Glückselig das Volk, dessen Gott der HErr ist!
Psalmen 145:1	Ein Loblied von David.Ich will dich erheben, mein Gott, du König,und deinen Namen preisen immer und ewig!
Psalmen 145:2	An jedem Tage will ich dich preisenund deinen Namen rühmen immer und ewig!
Psalmen 145:3	Groß ist der HErr und hoch zu rühmen,und seine Größe ist unausforschlich.
Psalmen 145:4	Ein Geschlecht wird dem andern rühmen deine Werkeund kundtun deine gewaltigen Taten.
Psalmen 145:5	Von der herrlichen Pracht deiner Hoheit (= Majestät) will ich reden,und von deinen Wundertaten (will ich singen).
Psalmen 145:6	Von der Macht deines furchtbaren Waltens wird man reden,und deine Größe (oder: Großtaten) — davon will ich erzählen!
Psalmen 145:7	Den Ruhm deiner reichen Güte wird man verkündenund jubelnd preisen deine Gerechtigkeit.
Psalmen 145:8	Gnädig und barmherzig ist der HErr,langmütig und reich an Güte.
Psalmen 145:9	Der HErr ist gütig gegen alle,und sein Erbarmen umfaßt alle seine Werke.
Psalmen 145:10	„Alle deine Werke werden dich loben, HErr,und deine Frommen dich preisen;
Psalmen 145:11	die Herrlichkeit deines Königtums werden sie rühmenund reden von deiner Macht,
Psalmen 145:12	um den Menschenkindern kundzutun seine mächtigen Tatenund die herrliche Pracht seines Königtums.
Psalmen 145:13	Dein Reich ist ein Reich für alle Ewigkeiten,und deine Herrschaft besteht durch alle Geschlechter.Getreu ist der HErr in seinen Wortenund heilig in all seinem Tun.
Psalmen 145:14	Der HErr stützt alle Fallendenund richtet alle Gebeugten auf.
Psalmen 145:15	Aller Augen warten auf dich*),und du gibst ihnen ihre Speise zu seiner (d. h. rechten) Zeit;
Psalmen 145:16	du tust deine Hand aufund sättigst alles, was lebt, mit Wohlgefallen.**)
Psalmen 145:17	Gerecht ist der HErr in all seinem Waltenund liebreich in all seinem Tun.
Psalmen 145:18	Der HErr ist nahe allen, die ihn anrufen,allen, die ihn in Treue***) anrufen;
Psalmen 145:19	er erfüllt das Begehren derer, die ihn fürchten,er hört ihr Schreien und hilft ihnen.
Psalmen 145:20	Der HErr behütet alle, die ihn lieben,doch alle Frevler rottet er aus.
Psalmen 145:21	Mein Mund soll verkünden den Lobpreis des HErrn,und alles Fleisch (= alle Welt) soll preisen seinen heiligen Namenimmer und ewig!
Psalmen 146:1	Halleluja!Lobe den HErrn, meine Seele!
Psalmen 146:2	Loben will ich den HErrn, solange ich lebe,will meinem Gott lobsingen, solange ich bin!
Psalmen 146:3	Verlaßt euch nicht auf Fürsten,nicht auf Menschen, die ja nicht helfen können!
Psalmen 146:4	Geht der Odem (oder: Geist) ihnen aus, so kehren sie zurück zum Staube;am gleichen Tage ist’s aus mit ihren Plänen.
Psalmen 146:5	Wohl dem, dessen Hilfe der Gott Jakobs ist,dessen Hoffnung ruht auf dem HErrn, seinem Gott,
Psalmen 146:6	auf ihm, der Himmel und Erde geschaffen,das Meer mit allem, was in ihnen ist,der Treue ewiglich hält;
Psalmen 146:7	der Recht den Unterdrückten schafftund Brot den Hungrigen gibt.Der HErr macht die Gefangenen frei;
Psalmen 146:8	der HErr gibt Blinden das Augenlicht,der HErr richtet die Gebeugten auf,der HErr hat lieb die Gerechten;
Psalmen 146:9	der HErr behütet den Fremdling;Waisen und Witwen hält er aufrecht;doch den Weg der Gottlosen macht er zum Irrweg.
Psalmen 146:10	Der HErr wird König in Ewigkeit sein,dein Gott, o Zion, für und für!Halleluja!
Psalmen 147:1	Preiset den HErrn! denn schön (oder: löblich) ist’s, unserm Gott zu lobsingen,ja lieblich und wohlgeziemend ist Lobgesang.
Psalmen 147:2	Der HErr baut Jerusalem wieder auf,er sammelt Israels zerstreute Söhne;
Psalmen 147:3	er heilt, die zerbrochnen Herzens sind,und verbindet ihre Wunden;
Psalmen 147:4	er bestimmt den Sternen ihre Zahlund ruft (oder: benennt) sie alle mit Namen (Jes. 40,26).
Psalmen 147:5	Groß ist unser Herr und allgewaltig,für seine Weisheit gibt’s kein Maß.
Psalmen 147:6	Der HErr hilft den Gebeugten auf,doch die Gottlosen stürzt er nieder zu Boden.
Psalmen 147:7	Stimmt für den HErrn ein Danklied an,spielt unserm Gott auf der Zither!
Psalmen 147:8	ihm, der den Himmel mit Wolken bedecktund Regen schafft für die Erde,der Gras auf den Bergen sprießen läßt,
Psalmen 147:9	der den Tieren ihr Futter gibt,den jungen Raben, die zu ihm schreien.
Psalmen 147:10	Er hat nicht Lust an der Stärke des Rosses,nicht Gefallen an den Schenkeln (= Körperkraft) des Mannes;
Psalmen 147:11	Gefallen hat der HErr an denen, die ihn fürchten,an denen, die auf seine Gnade harren.
Psalmen 147:12	Preise den HErrn, Jerusalem,lobsinge, Zion, deinem Gott!
Psalmen 147:13	denn er hat die Riegel deiner Tore stark gemacht,gesegnet deine Kinder in deiner Mitte;
Psalmen 147:14	er schafft deinen Grenzen Sicherheit,sättigt dich mit dem Mark des Weizens (mit dem besten Weizen).
Psalmen 147:15	Er läßt sein Machtwort nieder zur Erde gehn:gar eilig läuft sein Gebot dahin;
Psalmen 147:16	er sendet Schnee wie Wollflockenund streut den Reif wie Asche aus;
Psalmen 147:17	er wirft seinen Hagel wie Brocken herab:wer kann bestehn vor seiner Kälte?
Psalmen 147:18	Doch läßt er sein Gebot ergehn, so macht er sie schmelzen;läßt er wehn seinen Tauwind, so rieseln die Wasser.
Psalmen 147:19	Er hat Jakob sein Wort verkündet,Israel sein Gesetz und seine Rechte.
Psalmen 147:20	Mit keinem (anderen) Volk ist so er verfahren,drum kennen sie seine Rechte nicht.Halleluja!
Psalmen 148:1	Halleluja!Lobet den HErrn vom Himmel her,lobet ihn in den Himmelshöhen!
Psalmen 148:2	Lobet ihn, alle seine Engel,lobet ihn, alle seine Heerscharen!
Psalmen 148:3	Lobet ihn, Sonne und Mond,lobet ihn, alle ihr leuchtenden Sterne!
Psalmen 148:4	Lobet ihn, ihr Himmel der Himmel (vgl. 5. Mos. 10,14),und ihr Wasser oberhalb des Himmels!
Psalmen 148:5	Loben sollen sie den Namen des HErrn,denn er gebot, da waren sie geschaffen,
Psalmen 148:6	und er hat sie hingestellt für immer und ewigund ihnen ein Gesetz gegeben, das übertreten sie nicht.
Psalmen 148:7	Lobet den HErrn von der Erde her,ihr Seeungeheuer und alle Meeresfluten!
Psalmen 148:8	du Feuer und Hagel, du Schnee und Nebel,du Sturmwind, der sein Gebot vollzieht!
Psalmen 148:9	ihr Berge und Hügel allesamt,ihr Fruchtbäume und Zedern allzumal,
Psalmen 148:10	ihr Tiere alle, wilde und zahme,du Gewürm und ihr beschwingte Vögel,
Psalmen 148:11	ihr Könige der Erde und alle Völkerschaften,ihr Fürsten und alle Richter auf Erden,
Psalmen 148:12	ihr Jünglinge mitsamt den Jungfrauen,ihr Greise samt den Jungen!
Psalmen 148:13	Sie alle sollen loben den Namen des HErrn,denn sein Name allein ist erhaben;seine Hoheit (= Majestät) überragt die Erde und den Himmel.
Psalmen 148:14	Er hat sein Volk aufs neue zu Ehren gebracht*):ein Ruhm ist das für alle seine Frommen,für Israels Söhne (oder: Kinder), das Volk, das am nächsten ihm steht.Halleluja!
Psalmen 149:1	Halleluja!Singet dem HErrn ein neues Lied,seinen Lobpreis in der Versammlung der Frommen!**)
Psalmen 149:2	Es freue sich Israel seines Schöpfers,Zions Söhne sollen jubeln ob ihrem König!
Psalmen 149:3	Sie sollen seinen Namen preisen im Reigentanz,mit Pauken und Zithern ihm spielen!
Psalmen 149:4	Denn der HErr hat Wohlgefallen an seinem Volk;er schmückt (oder: krönt) die Gebeugten mit Sieg***).
Psalmen 149:5	Frohlocken sollen die Frommen mit Stolz†),sollen jauchzen auf ihren Lagern,
Psalmen 149:6	Lobeserhebungen Gottes im Mundund ein doppelschneidiges Schwert in der Hand:
Psalmen 149:7	um Rache zu vollziehn an den Heiden,Vergeltung an den Völkern,
Psalmen 149:8	um ihre Könige mit Ketten zu bindenund ihre Edlen mit eisernen Fesseln,
Psalmen 149:9	um das längst geschriebene Urteil an ihnen zu vollstrecken:eine Ehre ist dies für alle seine Frommen!Halleluja!
Psalmen 150:1	Halleluja!Lobt Gott in seinem (himmlischen) Heiligtum,lobt ihn in (oder: an) seiner starken Feste!*)
Psalmen 150:2	Lobt ihn ob seinen Wundertaten,lobt ihn nach seiner gewaltigen Größe!
Psalmen 150:3	Lobt ihn mit Posaunenschall,lobt ihn mit Harfe und Zither!
Psalmen 150:4	Lobt ihn mit Pauke und Reigentanz,lobt ihn mit Saitenspiel und Flöte!
Psalmen 150:5	Lobt ihn mit hellklingenden Zimbeln,lobt ihn mit lautschallenden Zimbeln!
Psalmen 150:6	Alles, was Odem hat, lobe den HErrn!Halleluja!
Sprichwörter 1:1	(Dies sind) die Sprüche Salomo’s, des Sohnes Davids, des Königs von Israel:
Sprichwörter 1:2	damit man Weisheit und Zucht (= Gesittung) lernt, Verständnis gewinnt für verständige Reden,
Sprichwörter 1:3	damit man Zucht erlangt (oder: Bildung annimmt), welche Besonnenheit verleiht, Gerechtigkeit, Sittlichkeit und Ehrenhaftigkeit,
Sprichwörter 1:4	damit den Unerfahrenen Klugheit zuteil wird, den Jünglingen Erkenntnis und Lebenskunst.
Sprichwörter 1:5	Auch der Weise möge sie vernehmen, um an Wissen zuzunehmen, und der Verständige möge sich (durch sie) Lebensklugheit aneignen,
Sprichwörter 1:6	um Sinnsprüche und bildliche Rede zu verstehen, die Worte der Weisen und ihre Rätsel (= dunklen Aussprüche).
Sprichwörter 1:7	¶ Die Furcht des HErrn ist der Anfang der Erkenntnis (9,10); die Toren verachten Weisheit und Zucht (= Gesittung).
Sprichwörter 1:8	¶ Höre, mein Sohn, auf die Belehrung (oder: Zucht) deines Vaters und achte nicht gering die Unterweisung deiner Mutter!
Sprichwörter 1:9	denn sie sind ein schöner Kranz für dein Haupt und eine Schmuckkette für deinen Hals.
Sprichwörter 1:10	Mein Sohn, wenn Sünder (= böse Menschen) dich locken, so willige nicht ein.
Sprichwörter 1:11	Wenn sie zu dir sagen: „Komm mit uns! wir wollen auf Bluttaten ausgehen*), dem Unschuldigen ohne Ursache auflauern!
Sprichwörter 1:12	wir wollen sie verschlingen wie das Totenreich, lebendig und mit Haut und Haaren, wie solche, die in die Grube hinabgefahren sind!
Sprichwörter 1:13	Allerlei kostbares Gut wollen wir gewinnen, wollen unsere Häuser mit Raub anfüllen!
Sprichwörter 1:14	Du sollst gleichen Anteil mit uns haben: wir wollen alle eine gemeinsame Kasse haben!”
Sprichwörter 1:15	Mein Sohn, schließe dich ihnen auf ihren Wegen nicht an, halte deinen Fuß von ihrem Pfade zurück!
Sprichwörter 1:16	denn ihre Füße laufen dem Bösen (oder: Verderben) zu und haben Eile, Blut zu vergießen**).
Sprichwörter 1:17	Denn vergeblich ist das Netz ausgebreitet vor den Augen des gesamten Vogelvolkes;
Sprichwörter 1:18	vielmehr machen sie Anschläge gegen ihr eigenes Blut, stellen ihrem eigenen Leben nach.
Sprichwörter 1:19	So ergeht es (schließlich) allen, die nach unrechtem Gewinn trachten: dieses (Trachten) kostet seinem Besitzer das (eigene) Leben.
Sprichwörter 1:20	¶ Die Weisheit erhebt ihren Ruf (= predigt) laut auf der Straße, läßt ihre Stimme auf den Märkten (oder: freien Plätzen) erschallen;
